Company Location,Salary in USD,Region
Algeria,100000,Africa
American Samoa,34026.5,Oceania
Andorra,50745,Europe
Argentina,62000,South America
Armenia,50000,Asia
Australia,122133.619,Oceania
Austria,71354.83333,Europe
Bahamas,45555,North America
Belgium,76864.75,Europe
Bosnia and Herzegovina,120000,Europe
Brazil,58569.11765,South America
Canada,135117.8828,North America
Central African Rep.,49216,Africa
Chile,40038,South America
China,100000,Asia
Colombia,73903.66667,South America
Croatia,76726,Europe
Czechia,69478.66667,Europe
Denmark,49402.6,Europe
Ecuador,16000,South America
Egypt,22800,Africa
Estonia,45993.44444,Europe
Finland,68519.33333,Europe
France,80275.11111,Europe
Germany,91143.41429,Europe
Ghana,27000,Africa
Greece,50208.6,Europe
Honduras,20000,North America
Hong Kong,65058,Asia
Hungary,26709.5,Europe
India,35136.67347,Asia
Indonesia,34208,Asia
Iran,100000,Middle East
Iraq,100000,Middle East
Ireland,115188.2857,Europe
Israel,217332,Middle East
Italy,49997.07692,Europe
Japan,110821.625,Asia
Kenya,65000,Africa
Latvia,58302.5,Europe
Lithuania,94812,Europe
Luxembourg,60914,Europe
Malaysia,40000,Asia
Malta,28369,Europe
Mexico,94864.63636,North America
Moldova,18000,Europe
Netherlands,83586.70588,Europe
New Zealand,125000,Oceania
Nigeria,65750,Africa
Norway,88462,Europe
Pakistan,30000,Asia
Philippines,32840,Asia
Poland,55457.57143,Europe
Portugal,46138.47059,Europe
Puerto Rico,167500,North America
Qatar,300000,Middle East
Romania,56992,Europe
Russia,88409.16667,Europe
Saudi Arabia,134999,Middle East
Singapore,62783,Asia
Slovenia,62956,Europe
South Africa,34482,Africa
South Korea,47000,Asia
Spain,60109.49091,Europe
Sweden,98791.33333,Europe
Switzerland,88769.83333,Europe
Thailand,22971.33333,Asia
Turkey,22313.6,Asia
Ukraine,72666.66667,Europe
United Arab Emirates,100000,Middle East
United Kingdom,109766.2321,Europe
United States of America,158183.822,North America
